Nit,Productos_ahorro,Saldo_productos,Variacion_saldo_6m,Diversificacion_productos
75682867,6,179556567.93,0.23,3
66755036,6,24276580.89,0.07,3
66882282,7,113421448.73,-0.37,1
31081788,7,7504174.63,-0.38,1
23315092,4,16768130.11,-0.83,1
45788921,1,55636763.24,-0.35,3
36735830,6,128752353.55,0.63,1
41632483,0,0.0,-0.61,2
86737383,2,65924481.16,-0.97,3
98358551,0,0.0,0.19,1
98409749,1,138048053.27,0.23,2
14981505,0,0.0,-0.83,3
23953367,5,139424947.26,-0.98,2
95652971,0,0.0,0.67,1
14521373,3,99755888.88,-0.49,2
13344769,2,55295150.21,0.78,2
86893497,5,45447350.15,0.43,3
40349564,3,181398053.99,0.05,2
52860080,5,126383838.98,-0.09,3
87751354,7,70862888.92,-0.32,3
72250665,0,0.0,-0.3,2
76209791,3,63838252.87,-0.35,3
56792155,4,124751876.87,-0.26,2
31498555,2,13005891.52,0.44,3
70221198,0,0.0,-0.39,2
89757501,6,60277450.78,-0.46,3
26861870,5,192946655.35,-0.79,2
62286002,2,175093431.02,-0.91,3
42049003,6,107462560.45,0.03,2
71136438,3,144803301.06,-0.8,1
72194931,1,51816000.65,-0.84,1
75285250,0,0.0,-0.41,3
79537252,8,95172583.09,0.22,3
69248434,0,0.0,0.12,2
71306900,0,0.0,0.59,2
65831368,0,0.0,0.76,1
20959014,6,156375996.01,-0.26,1
66972561,7,66887860.88,-0.74,2
58900483,2,161573373.51,0.71,2
30193880,3,169237259.66,-0.13,1
13385357,6,103334293.89,-0.1,1
54738553,6,55161056.45,0.54,3
78574553,5,61547886.88,0.97,2
26845364,6,113490306.23,0.91,2
62157313,6,31399201.43,-0.44,3
21392366,4,135493284.18,-0.51,2
79778859,0,0.0,-0.13,2
98883975,5,102496252.86,-0.66,3
23479854,7,3351178.69,-0.82,2
83506850,4,183246323.55,0.7,1
23187277,3,55361640.65,0.75,1
78979792,5,47583130.19,0.89,2
47709731,5,166319611.39,0.36,2
36939239,1,122508709.71,-0.17,1
33027075,1,142326659.43,0.29,1
91200125,1,56710491.72,-0.56,1
96191493,3,77335405.01,-0.08,3
97796277,1,144216065.58,0.48,3
76401385,7,30847928.79,-0.11,1
32335235,8,199316728.98,-0.54,3
10271836,4,31297761.53,-0.3,2
13584702,1,46061204.41,-0.97,2
62631083,0,0.0,-0.13,2
18585377,7,46011272.75,-0.47,2
96544585,2,166968329.48,0.91,2
95157821,4,148891303.59,-0.17,1
97655395,1,192136966.9,0.91,1
27824013,6,175309341.54,0.35,1
46601694,6,114513463.56,-0.49,2
77105583,5,175794450.12,-0.25,3
70304654,2,97956430.11,0.31,1
44119117,6,45932935.06,-0.46,2
46433622,0,0.0,0.75,1
99482491,5,198611141.85,-0.36,1
70031992,6,81314092.42,0.93,1
65105831,6,129414765.07,0.21,1
13366612,1,195467035.62,0.84,2
68743503,5,107260955.42,0.24,2
46258670,8,84061147.59,-0.99,1
79739572,8,142228519.3,0.94,1
65848857,6,166543537.05,0.18,2
67055419,6,36638590.98,-0.74,3
59160571,4,66435794.66,0.23,1
78394024,0,0.0,0.18,2
74525468,6,65130957.17,-0.39,3
99966606,8,150385514.2,-0.81,2
48727468,5,131953539.71,0.97,2
61757120,2,85918323.62,-0.45,3
77157848,3,42550528.89,-0.93,3
87897542,1,120042691.44,0.91,1
83665032,7,9529643.1,0.21,3
95390464,1,99098216.54,0.14,3
58170987,1,38644155.14,0.74,3
62562567,2,187930867.18,0.23,3
33717335,2,37592341.59,-0.93,1
70472382,3,3227513.94,0.93,1
22719242,3,134753888.02,0.57,2
58715250,6,62339018.56,0.64,3
93139152,7,72288317.23,0.92,3
54054178,8,49375670.34,0.84,1
