Nit,Numero_Tx,Frecuencia_tx_mensual,Ultima_tx_dias
75682867,0,0.0,0
66755036,0,0.0,87
66882282,17,2.83,97
31081788,0,0.0,160
23315092,0,0.0,120
45788921,0,0.0,133
36735830,0,0.0,154
41632483,0,0.0,56
86737383,0,0.0,108
98358551,0,0.0,83
98409749,0,0.0,51
14981505,23,3.83,123
23953367,0,0.0,40
95652971,0,0.0,169
14521373,0,0.0,56
13344769,0,0.0,51
86893497,0,0.0,109
40349564,0,0.0,111
52860080,0,0.0,92
87751354,0,0.0,117
72250665,37,6.17,67
76209791,0,0.0,61
56792155,14,2.33,173
31498555,0,0.0,6
70221198,0,0.0,117
89757501,0,0.0,151
26861870,0,0.0,50
62286002,29,4.83,68
42049003,3,0.5,36
71136438,0,0.0,20
72194931,0,0.0,13
75285250,0,0.0,132
79537252,0,0.0,38
69248434,30,5.0,171
71306900,0,0.0,114
65831368,0,0.0,168
20959014,0,0.0,27
66972561,26,4.33,31
58900483,0,0.0,6
30193880,0,0.0,49
13385357,31,5.17,17
54738553,0,0.0,124
78574553,0,0.0,113
26845364,0,0.0,26
62157313,0,0.0,53
21392366,0,0.0,88
79778859,20,3.33,126
98883975,0,0.0,78
23479854,0,0.0,89
83506850,0,0.0,63
23187277,22,3.67,53
78979792,0,0.0,17
47709731,0,0.0,145
36939239,0,0.0,25
33027075,0,0.0,163
91200125,7,1.17,12
96191493,0,0.0,47
97796277,0,0.0,48
76401385,27,4.5,9
32335235,0,0.0,72
10271836,0,0.0,22
13584702,23,3.83,5
62631083,3,0.5,18
18585377,0,0.0,153
96544585,0,0.0,44
95157821,0,0.0,11
97655395,0,0.0,116
27824013,0,0.0,40
46601694,0,0.0,176
77105583,25,4.17,83
70304654,0,0.0,168
44119117,0,0.0,154
46433622,0,0.0,54
99482491,0,0.0,174
70031992,15,2.5,158
65105831,39,6.5,116
13366612,0,0.0,45
68743503,0,0.0,167
46258670,40,6.67,148
79739572,0,0.0,37
65848857,0,0.0,131
67055419,0,0.0,41
59160571,19,3.17,27
78394024,22,3.67,114
74525468,0,0.0,1
99966606,40,6.67,113
48727468,33,5.5,109
61757120,0,0.0,63
77157848,16,2.67,138
87897542,0,0.0,179
83665032,0,0.0,160
95390464,0,0.0,34
58170987,0,0.0,46
62562567,9,1.5,74
33717335,0,0.0,143
70472382,0,0.0,12
22719242,0,0.0,143
58715250,0,0.0,88
93139152,30,5.0,10
54054178,14,2.33,36
48334882,23,3.83,40
62441466,38,6.33,140
59583876,16,2.67,137
96117865,0,0.0,34
73203558,0,0.0,2
47407771,0,0.0,34
93122310,31,5.17,56
37009224,0,0.0,35
61327755,0,0.0,114
89018913,3,0.5,97
17130144,0,0.0,44
14545583,0,0.0,63
64079037,0,0.0,103
64474455,0,0.0,150
51542436,0,0.0,126
56626914,25,4.17,168
63933927,0,0.0,147
62453338,24,4.0,150
24881728,0,0.0,30
44045666,0,0.0,48
22722094,0,0.0,98
32178434,0,0.0,4
56321408,0,0.0,170
22796932,38,6.33,34
84023414,16,2.67,33
36063245,0,0.0,23
49443226,0,0.0,155
83619289,0,0.0,107
17887739,28,4.67,52
70736972,0,0.0,78
71071026,0,0.0,42
10769598,0,0.0,63
99178975,0,0.0,151
59007334,40,6.67,21
38433648,29,4.83,0
17971379,0,0.0,22
13331068,0,0.0,84
46810847,38,6.33,150
44428803,0,0.0,156
15654237,27,4.5,39
71553124,0,0.0,113
55816038,0,0.0,157
27750764,7,1.17,140
46898446,0,0.0,62
33841962,0,0.0,53
76834972,0,0.0,38
53156515,16,2.67,35
32993420,0,0.0,140
72190751,0,0.0,140
31970758,0,0.0,75
46513466,0,0.0,114
41288562,10,1.67,110
31351509,31,5.17,80
33484187,0,0.0,3
71777469,0,0.0,15
46093880,5,0.83,168
60441204,0,0.0,45
91752859,0,0.0,128
54066131,0,0.0,113
85415325,0,0.0,115
45563453,0,0.0,152
44755914,34,5.67,70
60873983,30,5.0,8
63892568,0,0.0,14
33637222,16,2.67,107
12484413,33,5.5,33
80016224,0,0.0,103
49449976,5,0.83,175
99583549,0,0.0,82
